label,no. births
Loddon,-
Loddon,-
Loddon,55
Loddon,73
Loddon,57
Loddon,53
Loddon,66
Loddon,-
Loddon,-
Macedon Ranges,-
Macedon Ranges,-
Macedon Ranges,525
Macedon Ranges,519
Macedon Ranges,511
Macedon Ranges,467
Macedon Ranges,480
Macedon Ranges,-
Macedon Ranges,-
Manningham,-
Manningham,-
Manningham,"1,130"
Manningham,"1,019"
Manningham,"1,064"
Manningham,979
Manningham,976
Manningham,-
Manningham,-
Mansfield,-
Mansfield,-
Mansfield,74
Mansfield,80
Mansfield,56
Mansfield,71
Mansfield,66
Mansfield,-
Mansfield,-
Maribyrnong,-
Maribyrnong,-
Maribyrnong,"1,438"
Maribyrnong,"1,298"
Maribyrnong,"1,346"
Maribyrnong,"1,160"
Maribyrnong,"1,161"
Maribyrnong,-
Maribyrnong,-
Maroondah,-
Maroondah,-
Maroondah,"1,510"
Maroondah,"1,499"
Maroondah,"1,413"
Maroondah,"1,316"
Maroondah,"1,343"
Maroondah,-
Maroondah,-
Melbourne,-
Melbourne,-
Melbourne,"1,253"
Melbourne,"1,303"
Melbourne,"1,208"
Melbourne,"1,213"
Melbourne,"1,255"
Melbourne,-
Melbourne,-
Melton,-
Melton,-
Melton,"2,468"
Melton,"2,472"
Melton,"2,609"
Melton,"2,567"
Melton,"2,809"
Melton,-
Melton,-
Mildura,-
Mildura,-
Mildura,793
Mildura,730
Mildura,677
Mildura,655
Mildura,681
Mildura,-
Mildura,-
Mitchell,-
Mitchell,-
Mitchell,581
Mitchell,586
Mitchell,599
Mitchell,646
Mitchell,685
Mitchell,-
Mitchell,-
Moira,-
Moira,-
Moira,350
Moira,322
Moira,299
Moira,296
Moira,279
Moira,-
Moira,-
Monash,-
Monash,-
Monash,"1,938"
Monash,"1,694"
Monash,"1,659"
Monash,"1,599"
Monash,"1,576"
Monash,-
Monash,-
Moonee Valley,-
Moonee Valley,-
Moonee Valley,"1,506"
Moonee Valley,"1,389"
Moonee Valley,"1,403"
Moonee Valley,"1,259"
Moonee Valley,"1,311"
Moonee Valley,-
Moonee Valley,-
Moorabool,-
Moorabool,-
Moorabool,413
Moorabool,424
Moorabool,390
Moorabool,401
Moorabool,485
Moorabool,-
Moorabool,-
Moreland,-
Moreland,-
Moreland,"2,718"
Moreland,"2,526"
Moreland,"2,504"
Moreland,"2,276"
Moreland,"2,314"
Moreland,-
Moreland,-
Mornington Peninsula,-
Mornington Peninsula,-
Mornington Peninsula,"1,675"
Mornington Peninsula,"1,501"
Mornington Peninsula,"1,421"
Mornington Peninsula,"1,421"
Mornington Peninsula,"1,479"
Mornington Peninsula,-
Mornington Peninsula,-
Mount Alexander,-
Mount Alexander,-
Mount Alexander,142
Mount Alexander,136
Mount Alexander,149
Mount Alexander,128
Mount Alexander,157
Mount Alexander,-
Mount Alexander,-
Moyne,-
Moyne,-
Moyne,172
Moyne,192
Moyne,174
Moyne,198
Moyne,187
Moyne,-
Moyne,-
Murrindindi,-
Murrindindi,-
Murrindindi,123
Murrindindi,124
Murrindindi,121
Murrindindi,108
Murrindindi,131
Murrindindi,-
Murrindindi,-
Nillumbik,-
Nillumbik,-
Nillumbik,644
Nillumbik,612
Nillumbik,543
Nillumbik,544
Nillumbik,607
Nillumbik,-
Nillumbik,-
Northern Grampians,-
Northern Grampians,-
Northern Grampians,104
Northern Grampians,116
Northern Grampians,101
Northern Grampians,110
Northern Grampians,127
Northern Grampians,-
Northern Grampians,-
Port Phillip,-
Port Phillip,-
Port Phillip,"1,338"
