suburb,births,birth_rate,,
Forest Hill,92,1.47,,
Foster,84,2.11,,
Frankston,304,1.54,,
Frankston,"1,860",1.76,,
Frankston North,283,1.83,,
Frankston South,198,1.84,,
Fraser Rise - Plumpton,285,2.10,,
French Island,0,np,,
Gannawarra,63,2.22,,
Geelong,127,1.42,,
Geelong,"2,731",1.66,,
Geelong West - Hamlyn Heights,335,1.71,,
Gippsland - East,413,1.86,,
Gippsland - South West,625,1.81,,
Gisborne,168,1.95,,
Gladstone Park - Westmeadows,204,1.72,,
Glen Eira,"1,543",1.32,,
Glen Iris - East,139,1.45,,
Glen Waverley - East,134,0.98,,
Glen Waverley - West,123,0.90,,
Glenelg - Southern Grampians,342,1.95,,
Glenelg  ,78,2.08,,
Glenroy - East,252,1.89,,
Glenroy - West,148,1.74,,
Golden Plains - North,46,1.98,,
Golden Plains - South,92,2.18,,
Gordon  ,51,1.98,,
Gowanbrae,35,1.62,,
Grampians,639,1.95,,
Greensborough,233,1.64,,
Greenvale - Bulla,372,1.83,,
Grovedale - Mount Duneed,343,1.72,,
Hadfield,130,2.15,,
Hallam,170,1.84,,
Hamilton  ,115,2.15,,
Hampton,162,1.54,,
Hampton Park - East,182,1.90,,
Hampton Park - West,181,1.84,,
Hastings - Somers,245,1.86,,
Hawthorn - North,71,0.95,,
Hawthorn - South,85,0.88,,
Hawthorn East,115,0.92,,
Healesville - Yarra Glen,153,1.81,,
Heathcote,41,2.12,,
Heathcote - Castlemaine - Kyneton,441,1.83,,
Heidelberg - Rosanna,170,1.33,,
Heidelberg West,242,1.56,,
Highett (East) - Cheltenham,303,1.56,,
Highett (West) - Cheltenham,133,1.70,,
Highton,248,1.56,,
Hillside,181,1.62,,
Hobsons Bay,"1,043",1.66,,
Hoppers Crossing - North,212,1.63,,
Hoppers Crossing - South,228,1.60,,
Horsham,211,1.80,,
Horsham Surrounds,37,2.34,,
Hughesdale,77,1.20,,
Hurstbridge,26,1.83,,
Irymple,81,1.90,,
Ivanhoe,102,1.21,,
Ivanhoe East - Eaglemont,48,1.39,,
Kangaroo Flat - Golden Square,240,1.70,,
Keilor,72,1.80,,
Keilor,586,1.58,,
Keilor Downs,126,1.47,,
Keilor East,143,1.65,,
Kensington  ,142,1.19,,
Kerang,34,2.13,,
Kew - South,82,1.24,,
Kew - West,95,1.17,,
Kew East,43,1.38,,
Keysborough - North,117,1.38,,
Keysborough - South,164,1.47,,
Kialla,125,2.03,,
Kilmore - Broadford,191,2.00,,
Kilsyth,142,1.76,,
Kinglake,46,1.92,,
Kings Park  ,126,1.70,,
Kingsbury,77,1.05,,
Kingston,"1,329",1.54,,
Knox,"1,557",1.44,,
Knoxfield - Scoresby,177,1.44,,
Koo Wee Rup,188,2.07,,
Korumburra,100,1.91,,
Kurunjang - Toolern Vale,174,1.90,,
Kyabram,115,2.04,,
Kyneton,86,1.58,,
Lake King,0,np,,
Lakes Entrance,81,1.87,,
Lalor - East,104,1.57,,
Lalor - West,160,1.63,,
Langwarrin,318,1.77,,
Lara,289,1.85,,
Latrobe Valley,899,1.82,,
Laverton,195,1.60,,
Leongatha,112,1.87,,
Leopold,150,1.70,,
Lilydale - Coldstream,224,1.63,,
Lockington - Gunbower,41,1.99,,
Loddon,60,1.97,,
Loddon - Elmore,103,1.95,,
Longford - Loch Sport,20,1.52,,
Lorne - Anglesea,38,1.59,,
Lynbrook - Lyndhurst,254,1.79,,
Lysterfield,39,1.33,,
Macedon,33,2.38,,
Macedon Ranges,409,2.05,,
Maffra,178,2.07,,
Maiden Gully,58,2.20,,
Malvern - Glen Iris,175,1.21,,
Malvern East,161,1.19,,
Manningham - East,151,1.40,,
Manningham - West,790,1.21,,
Manor Lakes - Quandong,270,2.05,,
Mansfield  ,74,1.38,,
Maribyrnong,133,1.18,,
Maribyrnong,"1,115",1.27,,
Maroondah,"1,265",1.56,,
Maryborough - Pyrenees,195,1.78,,
Maryborough  ,60,1.66,,
Maryborough Surrounds,37,1.81,,
Meadow Heights,203,1.80,,
Melbourne Airport,3,np,,
